Wine_ID,Grape_Cultivar,Brown_Color_avg,Orange_Color_avg,Red_Color_avg,Green_Color_avg,Yellow_Color_avg,Pink_Color_avg,Muscadine_Fruity_Aroma_avg,Red_Fruit_Aroma_avg,Apple_Pear_Aroma_avg,Bubblegum_Aroma_avg,Chemical_Aroma_avg,Jammy_Aroma_avg,Floral_Aroma_avg,Herbaceous_Aroma_avg,Green_Grassy_Aroma_avg,Petroleum_Aroma_avg,Spice_Aroma_avg,Stone_Fruits_Aroma_avg,Wood_Aroma_avg,Earthy_Aroma_avg,Sulfidic_Aroma_avg,Sulfite_Aroma_avg,Acetic_Aroma_avg,Oxidized_Aroma_avg,Foxy_Aroma_avg,Citrus_Aroma_avg,Honey_Aroma_avg,Stone_Fruit_Aroma_avg,Tropical_Aroma_avg,Muscadine_Taste_avg,Red_Fruit_Taste_avg,Sweet_Taste_avg,Bitter_Taste_avg,Sour_Taste_avg,Astringent_Taste_avg,Dry_Taste_avg,Oxidized_Taste_avg,Herbaceous_Taste_avg,Green_Grassy_Taste_avg,Jammy_Taste_avg,Crisp_Taste_avg,Honey_Taste_avg,Color_Liking_avg,Aroma_Liking_avg,Taste_Liking_avg,Overall_Quality_Liking_avg,Color_Intensity_avg,Muscadine_Aroma_Intensity_avg,Muscadine_Flavor_Intensity_avg,Sweetness_Intensity_avg,Bitterness_Intensity_avg,Astringency_Intensity_avg,Sourness_Intensity_avg
A1,Noble,0.055555556,0.018518519,1,NA,NA,NA,0.851851852,0.703703704,0.240740741,0.203703704,0.203703704,0.444444444,0.240740741,0.055555556,0.018518519,0.055555556,0.222222222,0.111111111,0.148148148,0.074074074,0.018518519,0.148148148,0.055555556,0.055555556,0.055555556,NA,NA,NA,NA,0.888888889,0.703703704,0.833333333,0.222222222,0.537037037,0.444444444,0.425925926,0.037037037,0.148148148,0.055555556,0.388888889,NA,NA,8.148148148,6.722222222,6.62962963,6.888888889,83.87037037,59.27777778,59.74074074,46.37037037,17.61111111,30.77777778,31.61111111
B1,Noble,0.166666667,0.166666667,1,NA,NA,NA,1,0.555555556,0.277777778,0.333333333,0.111111111,0.277777778,0.222222222,0.055555556,0.055555556,0.277777778,0.222222222,0.111111111,0.111111111,0,0.222222222,0.222222222,0.111111111,0.111111111,0.333333333,NA,NA,NA,NA,0.888888889,0.666666667,0.666666667,0.555555556,0.611111111,0.333333333,0.5,0.277777778,0.111111111,0,0.444444444,NA,NA,6.888888889,5.722222222,5.166666667,5.333333333,72.16666667,60.55555556,49.22222222,41.33333333,25.5,32.11111111,31.22222222
C1,Noble,0.111111111,0.277777778,0.944444444,NA,NA,NA,0.833333333,0.611111111,0.277777778,0.444444444,0.222222222,0.388888889,0.277777778,0,0.055555556,0.166666667,0.333333333,0.277777778,0.277777778,0,0,0.277777778,0.055555556,0.111111111,0.166666667,NA,NA,NA,NA,0.555555556,0.166666667,0.166666667,0.722222222,0.666666667,0.777777778,0.777777778,0.277777778,0.055555556,0.055555556,0.055555556,NA,NA,7.166666667,5.944444444,2.944444444,4.111111111,79.16666667,60.38888889,33.72222222,14.22222222,45.22222222,44.22222222,42
D1,Noble,0.222222222,0.166666667,0.888888889,NA,NA,NA,1,0.555555556,0.166666667,0.555555556,0.222222222,0.555555556,0.111111111,0.055555556,0.055555556,0.222222222,0.166666667,0.166666667,0.111111111,0.222222222,0.111111111,0.277777778,0.055555556,0.166666667,0.277777778,NA,NA,NA,NA,0.888888889,0.777777778,1,0.222222222,0.277777778,0.166666667,0.222222222,0,0.055555556,0.055555556,0.722222222,NA,NA,5.666666667,5.833333333,6.555555556,6.222222222,55.38888889,61.22222222,62.16666667,60.16666667,12.61111111,16.44444444,22.61111111
E1,Noble,0.388888889,0.333333333,0.888888889,NA,NA,NA,0.833333333,0.388888889,0.166666667,0.277777778,0.222222222,0.222222222,0.111111111,0.055555556,0.111111111,0.277777778,0.166666667,0.333333333,0.055555556,0,0.111111111,0.222222222,0.055555556,0.333333333,0.333333333,NA,NA,NA,NA,0.888888889,0.444444444,0.888888889,0.388888889,0.388888889,0.555555556,0.111111111,0.333333333,0,0,0.277777778,NA,NA,4.666666667,4.888888889,4.722222222,4.611111111,50.27777778,47.77777778,52.11111111,55.33333333,22.27777778,21.16666667,25.66666667
F1,Noble,0.111111111,0.111111111,1,NA,NA,NA,0.666666667,0.444444444,0.111111111,0.055555556,0.277777778,0.5,0.277777778,0.055555556,0.222222222,0.277777778,0.111111111,0.055555556,0.222222222,0.277777778,0.166666667,0.444444444,0.055555556,0.277777778,0.333333333,NA,NA,NA,NA,0.555555556,0.333333333,0.277777778,0.611111111,0.611111111,0.555555556,0.5,0.5,0.111111111,0.277777778,0.222222222,NA,NA,7.833333333,4.944444444,3.944444444,4.277777778,83.33333333,46.27777778,40.83333333,29.27777778,34.55555556,35.38888889,32.55555556
E2,Noble,0.666666667,0.222222222,0.833333333,NA,NA,NA,0.888888889,0.388888889,0.222222222,0.222222222,0.388888889,0.444444444,0.111111111,0.111111111,0,0.555555556,0.111111111,0.222222222,0.111111111,0.055555556,0,0.222222222,0.111111111,0.111111111,0.222222222,NA,NA,NA,NA,0.611111111,0.111111111,0.222222222,0.666666667,0.388888889,0.666666667,0.611111111,0.277777778,0.055555556,0,0.055555556,NA,NA,5,5,3.222222222,3.722222222,64.77777778,52,39.94444444,20.44444444,41.16666667,38.27777778,31.55555556
G1,Noble,0.055555556,0.055555556,0.944444444,NA,NA,NA,0.888888889,0.777777778,0.333333333,0.222222222,0.111111111,0.555555556,0.333333333,0.111111111,0,0.166666667,0.166666667,0.222222222,0.166666667,0.166666667,0.166666667,0.111111111,0.055555556,0.111111111,0.166666667,NA,NA,NA,NA,0.833333333,0.777777778,0.888888889,0.222222222,0.388888889,0.388888889,0.277777778,0.055555556,0,0,0.722222222,NA,NA,7.833333333,6.5,6.666666667,6.666666667,78.22222222,60.77777778,58.33333333,60.05555556,14.22222222,18.44444444,22.5
H1,Noble,0.111111111,0.222222222,1,NA,NA,NA,0.888888889,0.555555556,0.111111111,0.277777778,0.388888889,0.333333333,0.111111111,0.055555556,0.055555556,0.222222222,0.055555556,0.111111111,0.111111111,0.222222222,0.277777778,0.055555556,0,0.111111111,0.111111111,NA,NA,NA,NA,0.444444444,0.111111111,0,0.722222222,0.722222222,0.666666667,0.833333333,0.277777778,0.055555556,0,0.055555556,NA,NA,5.388888889,5.444444444,3.388888889,4.055555556,45.83333333,51.94444444,28.77777778,13.11111111,39.27777778,38.55555556,40.88888889
D2,Noble,0,0.055555556,1,NA,NA,NA,0.944444444,0.777777778,0.166666667,0.444444444,0.166666667,0.555555556,0.333333333,0.111111111,0.055555556,0.055555556,0.166666667,0.166666667,0.222222222,0.055555556,0,0.277777778,0.055555556,0.111111111,0.111111111,NA,NA,NA,NA,0.555555556,0.5,0.055555556,0.777777778,0.611111111,0.777777778,0.833333333,0,0.055555556,0.111111111,0.111111111,NA,NA,7.777777778,6.555555556,4.111111111,4.944444444,77.72222222,61.5,38.22222222,14.66666667,33.61111111,47.27777778,32.66666667
